 9.28317767e+03 -1.94084084e+01  9.28317767e+03 -3.16989888e-05 
 1.00237447e+04 -2.00679849e+01  1.00237447e+04 -2.72325012e-05 
 1.08233905e+04 -2.07285612e+01  1.08233905e+04 -2.33899726e-05 
 1.16868283e+04 -2.13899973e+01  1.16868283e+04 -2.00856520e-05 
 1.26191469e+04 -2.20521727e+01  1.26191469e+04 -1.72452005e-05 
 1.36258414e+04 -2.27149836e+01  1.36258414e+04 -1.48042714e-05 
 1.47128451e+04 -2.33783404e+01  1.47128451e+04 -1.27072406e-05 
 1.58865647e+04 -2.40421662e+01  1.58865647e+04 -1.09060775e-05 
 1.71539180e+04 -2.47063948e+01  1.71539180e+04 -9.35934901e-06 
 1.85223746e+04 -2.53709693e+01  1.85223746e+04 -8.03134219e-06 
 2.00000000e+04 -2.60358407e+01  2.00000000e+04 -6.89129648e-06 
