Designator,Mid X,Mid Y,Rotation,Layer
3V3,75.501752,-146.404868,0.0,bottom
5V1,104.6,-71.5,0.0,bottom
C1,74.87,-65.79,180.0,bottom
C10,82.43,-94.05,270.0,bottom
C11,84.54,-94.05,270.0,bottom
C12,77.12,-94.05,270.0,bottom
C13,79.25,-94.05,270.0,bottom
C14,90.55,-88.05,180.0,bottom
C15,90.55,-83.06,180.0,bottom
C16,110.5525,-125.445,270.0,bottom
C17,106.01,-98.42,180.0,bottom
C18,111.26,-69.539151,180.0,bottom
C2,83.95,-77.4,180.0,bottom
C3,74.44,-81.94,270.0,bottom
C4,111.65,-102.065,270.0,bottom
C5,112.85,-81.455,270.0,bottom
C6,110.65,-115.145,270.0,bottom
C7,113.0,-92.4,270.0,bottom
C8,110.65,-108.5,270.0,bottom
C9,109.5,-82.1,0.0,bottom
D1,73.1325,-68.27,180.0,bottom
D15,74.4,-148.39,0.0,bottom
D16,74.4,-149.99,0.0,bottom
D17,74.4,-151.58,0.0,bottom
D18,74.4,-153.2,0.0,bottom
D19,80.9075,-147.2,180.0,bottom
D2,117.27,-65.83,0.0,bottom
D3,118.98,-69.539151,180.0,bottom
D5,113.0,-88.8875,90.0,bottom
D6,109.9975,-65.69,180.0,bottom
D62,79.665589,-131.997483,0.0,bottom
D63,79.698763,-129.457483,0.0,bottom
D7,112.95,-77.2,90.0,bottom
F1,121.26,-64.96,90.0,bottom
GND1,73.151752,-146.404868,0.0,bottom
J1,102.171532,-142.69,270.0,bottom
J11,93.2,-99.675,180.0,bottom
J12,95.65,-94.355,270.0,bottom
J16,79.32,-59.665,180.0,bottom
J19,99.38,-59.36,270.0,bottom
J2,79.86,-153.255,0.0,bottom
J23,94.5,-75.45,180.0,bottom
J24,90.85,-75.45,180.0,bottom
J3,88.211532,-142.69,270.0,bottom
J30,73.175913,-129.46,180.0,bottom
J4,73.161942,-139.461906,180.0,bottom
J5,117.03,-58.48,180.0,bottom
J6,77.105,-105.11,270.0,bottom
J7,98.03,-99.675,0.0,bottom
J8,75.9425,-117.55,270.0,bottom
JP3,119.8525,-121.39,90.0,bottom
JP4,116.4525,-121.395,90.0,bottom
JP5,113.0525,-121.395,90.0,bottom
R14,111.845,-112.845,180.0,bottom
R15,113.0,-86.4675,90.0,bottom
R16,118.1,-85.696484,270.0,bottom
R17,114.7525,-121.7,90.0,bottom
R18,111.3525,-121.7,90.0,bottom
R19,112.6875,-65.68,180.0,bottom
R26,122.96371,-79.865,0.0,bottom
R28,122.96371,-78.595,0.0,bottom
R3,118.1,-75.395,270.0,bottom
R30,112.95,-74.775,90.0,bottom
R38,72.1125,-148.39,0.0,bottom
R39,72.1125,-149.99,0.0,bottom
R4,122.96371,-88.80804,0.0,bottom
R40,72.1125,-151.58,0.0,bottom
R41,72.1125,-153.2,0.0,bottom
R42,81.7,-148.52,180.0,bottom
R43,84.54,-96.32,0.0,bottom
R44,79.25,-96.32,0.0,bottom
R45,82.43,-96.32,0.0,bottom
R46,77.12,-96.32,0.0,bottom
R47,100.1,-68.725,270.0,bottom
R48,94.28,-68.725,270.0,bottom
R49,130.7,-126.38,270.0,bottom
R5,75.6,-68.27,180.0,bottom
R50,130.7,-128.945,270.0,bottom
R53,70.765952,-74.8835,0.0,bottom
R6,111.65,-99.15,180.0,bottom
R7,96.945952,-84.3695,0.0,bottom
R8,118.1525,-121.695,90.0,bottom
R9,91.275952,-108.643,0.0,bottom
R91,77.399087,-132.0,180.0,bottom
R92,77.399087,-129.46,180.0,bottom
TH2,100.49,-83.4645,0.0,bottom
TH4,74.31,-74.0145,0.0,bottom
TH5,94.82,-107.81,0.0,bottom
TP3,91.275952,-106.993,0.0,bottom
TP4,70.81,-106.95,90.0,bottom
TP5,96.945952,-82.7195,0.0,bottom
TP6,85.33,-69.58,180.0,bottom
TP7,70.765952,-73.1835,0.0,bottom
TP8,85.33,-66.03,180.0,bottom
TP9,70.81,-104.72,90.0,bottom
U1,127.18,-107.03,0.0,top
U10,66.28,-107.05,0.0,top
U13,118.1,-80.5,270.0,bottom
U2,80.83,-85.62,0.0,bottom
U3,107.1,-77.1,180.0,bottom
U4,116.4,-116.1,270.0,bottom
U5,116.4,-103.2,270.0,bottom
U6,116.4,-109.45,270.0,bottom
U7,118.1,-90.71304,270.0,bottom
U8,116.4525,-126.4,0.0,bottom
U9,79.31,-67.707422,270.0,bottom
