Designator,Mid X,Mid Y,Rotation,Layer
3V3,110.175,-127.65,0.0,bottom
5V1,110.175,-121.55,0.0,bottom
C1,81.2,-61.25,180.0,bottom
C10,89.05,-111.566326,180.0,bottom
C11,89.05,-108.013673,0.0,bottom
C12,85.555939,-111.566326,180.0,bottom
C13,83.655939,-109.403673,180.0,bottom
C14,79.83,-129.48,270.0,bottom
C15,84.93,-129.48,270.0,bottom
C16,104.86,-111.06,90.0,bottom
C17,121.753963,-147.57,90.0,bottom
C2,79.65,-120.963673,270.0,bottom
C3,79.65,-115.773673,90.0,bottom
C4,109.6,-81.63,180.0,bottom
C5,97.05,-58.515,270.0,bottom
C6,105.87,-90.17,90.0,bottom
C7,97.725,-69.345,270.0,bottom
C8,105.87,-96.9375,90.0,bottom
C9,110.925,-63.745,180.0,bottom
D1,87.875,-58.1725,270.0,bottom
D15,124.7475,-53.703745,180.0,bottom
D16,124.7475,-57.375,180.0,bottom
D17,124.7475,-55.561255,180.0,bottom
D18,124.7475,-59.2,180.0,bottom
D19,87.03,-153.135,90.0,bottom
D5,97.675,-73.095,270.0,bottom
D62,78.5,-65.609489,270.0,bottom
D63,76.0,-65.606193,270.0,bottom
D7,97.45,-62.6275,270.0,bottom
GND1,110.175,-124.7,0.0,bottom
J1,107.675,-146.74,270.0,bottom
J11,93.14,-87.81,180.0,bottom
J12,96.14,-80.77,270.0,bottom
J14,82.0,-98.75,270.0,bottom
J16,78.3,-55.055,180.0,bottom
J17,92.1,-54.075,270.0,bottom
J18,82.0,-87.535,270.0,bottom
J19,77.18,-148.35,90.0,bottom
J2,72.825,-64.985,180.0,bottom
J23,77.86,-135.2,90.0,bottom
J24,77.86,-138.81,90.0,bottom
J3,93.715,-146.74,270.0,bottom
J30,79.9,-73.4,0.0,bottom
J4,121.743963,-139.84,180.0,bottom
J7,99.135,-87.81,0.0,bottom
JP3,114.145,-107.564134,90.0,bottom
JP4,110.501541,-107.564134,90.0,bottom
JP5,106.765018,-107.556426,90.0,bottom
R14,105.87,-92.39,180.0,bottom
R15,97.675,-75.5,270.0,bottom
R16,102.975,-73.8,90.0,bottom
R17,112.35,-107.284134,90.0,bottom
R18,108.565018,-107.251426,90.0,bottom
R26,102.747076,-53.712903,270.0,bottom
R28,104.14316,-53.712903,270.0,bottom
R3,102.6,-62.565,90.0,bottom
R30,97.45,-65.165,270.0,bottom
R38,128.455,-53.703745,180.0,bottom
R39,128.455,-57.375,180.0,bottom
R4,105.45,-64.77,270.0,bottom
R40,128.455,-55.561255,180.0,bottom
R41,128.455,-59.2,180.0,bottom
R42,87.03,-150.4725,90.0,bottom
R43,86.51,-107.658673,270.0,bottom
R44,84.605939,-107.618673,270.0,bottom
R45,90.0,-109.783673,270.0,bottom
R46,86.505939,-109.783673,270.0,bottom
R47,72.56,-135.2,90.0,bottom
R48,72.56,-138.81,90.0,bottom
R5,87.875,-60.68,270.0,bottom
R53,90.6,-74.682,270.0,bottom
R6,106.8,-85.0475,180.0,bottom
R7,96.81,-96.046849,270.0,bottom
R8,115.995,-107.284134,90.0,bottom
R9,114.737857,-75.568,180.0,bottom
R91,78.5,-68.023011,90.0,bottom
R92,76.0,-68.019715,90.0,bottom
TH2,96.64,-93.63,0.0,bottom
TH4,91.83,-71.277,0.0,bottom
TH5,111.13,-75.568,180.0,bottom
TP3,115.06,-78.375,0.0,bottom
TP5,96.81,-98.496849,90.0,bottom
TP7,92.9,-75.027,0.0,bottom
U1_2,96.7,-97.408,0.0,top
U1,127.18,-107.03,0.0,top
U10,66.28,-107.05,0.0,top
U13,102.6,-57.82,270.0,bottom
U2,87.41,-118.643673,0.0,bottom
U3,112.375,-68.5,0.0,bottom
U4,111.6275,-93.025,270.0,bottom
U5,111.45,-85.6925,270.0,bottom
U6,111.6275,-99.7925,270.0,bottom
U7,102.975,-68.6,270.0,bottom
U8,110.88,-112.82,0.0,bottom
U9,84.4625,-65.025,180.0,bottom
