Designator,Mid X,Mid Y,Rotation,Layer
C1,84.5,-60.6,90.0,bottom
C4,105.875,-86.625,180.0,bottom
C5,97.05,-58.515,270.0,bottom
C6,100.875,-94.725,90.0,bottom
C7,97.725,-69.345,270.0,bottom
C8,101.075,-103.975,270.0,bottom
D1,87.875,-58.1725,270.0,bottom
D15,124.7475,-53.703745,180.0,bottom
D16,124.7475,-57.375,180.0,bottom
D17,124.7475,-55.561255,180.0,bottom
D18,124.7475,-59.2,180.0,bottom
D19,97.193594,-140.611393,270.0,bottom
D5,97.675,-73.095,270.0,bottom
D62,80.525,-82.125,90.0,bottom
D63,77.942261,-82.128296,90.0,bottom
D7,97.45,-62.6275,270.0,bottom
J1,84.925,-73.375,0.0,bottom
J11,92.653929,-87.799999,180.0,bottom
J12,96.155,-80.775,270.0,bottom
J13,92.7,-135.74,0.0,bottom
J14,82.0,-98.75,270.0,bottom
J15,105.075,-149.875,0.0,bottom
J16,78.3,-55.055,180.0,bottom
J17,92.1,-54.075,270.0,bottom
J2,72.825,-64.985,180.0,bottom
J20,98.38,-129.45,90.0,bottom
J21,98.38,-133.075,90.0,bottom
J3,121.3,-137.06,0.0,bottom
J30,79.9,-73.4,0.0,bottom
J4,116.425,-138.34,180.0,bottom
J5,121.3,-145.265,180.0,bottom
J7,99.608929,-87.799999,0.0,bottom
JP3,110.505,-114.494134,90.0,bottom
JP4,106.861541,-114.494134,90.0,bottom
JP5,103.125018,-114.486426,90.0,bottom
R14,100.95,-98.155,270.0,bottom
R15,97.675,-75.5,270.0,bottom
R16,102.975,-73.8,90.0,bottom
R17,108.661541,-114.189134,90.0,bottom
R18,104.925018,-114.181426,90.0,bottom
R26,102.747076,-53.712903,270.0,bottom
R28,104.14316,-53.712903,270.0,bottom
R3,102.6,-62.565,90.0,bottom
R30,97.45,-65.165,270.0,bottom
R38,128.455,-53.703745,180.0,bottom
R39,128.455,-57.375,180.0,bottom
R4,105.45,-64.77,270.0,bottom
R40,128.455,-55.561255,180.0,bottom
R41,128.455,-59.2,180.0,bottom
R42,98.825299,-141.4,180.0,bottom
R5,87.875,-60.68,270.0,bottom
R53,90.6,-74.682,270.0,bottom
R6,103.075,-90.0425,180.0,bottom
R7,111.275,-58.225,270.0,bottom
R8,112.355,-114.214134,90.0,bottom
R9,112.027857,-79.068,180.0,bottom
R91,80.525,-79.711478,270.0,bottom
R92,77.942261,-79.714774,270.0,bottom
TH2,111.105,-55.808151,0.0,bottom
TH4,91.83,-71.277,0.0,bottom
TH5,108.42,-79.068,180.0,bottom
TP3,112.35,-81.875,0.0,bottom
TP5,111.275,-60.675,90.0,bottom
TP7,92.9,-75.027,0.0,bottom
U1_2,96.7,-97.408,0.0,top
U1,127.18,-107.03,0.0,top
U10,66.28,-107.05,0.0,top
U13,102.6,-57.82,270.0,bottom
U3,112.375,-68.5,0.0,bottom
U4,107.625,-99.6375,270.0,bottom
U5,107.725,-90.6875,270.0,bottom
U6,107.625,-106.85,270.0,bottom
U7,102.975,-68.6,270.0,bottom
U8,107.975,-121.9,0.0,bottom
U9,80.975,-63.7125,270.0,bottom
