Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U12,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,543.1575,-175.5412,0.0,top
U13,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,543.14,-182.12,0.0,top
U14,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,388.51,-178.58,0.0,top
U15,AP2112K-3.3,SOT-23-5,398.3475,-168.43,0.0,top
U16,74HC4050D,SO16,400.915,-178.48,0.0,top
U17,NUCLEO-H753ZI,MODULE_NUCLEO-H753ZI,448.13,-130.012,0.0,top
U18,HDSP-7503,HDSP-A151,229.89,-83.33,0.0,top
U19,HDSP-7503,HDSP-A151,238.71,-83.33,0.0,top
U2,HDSP-7503,HDSP-A151,247.54,-83.33,0.0,top
U20,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,543.175,-188.905,0.0,top
U21,74HC4050D,SO16,209.0675,-102.5725,-90.0,top
U22,AP2112K-3.3,SOT-23-5,216.0,-106.2225,0.0,top
U23,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,199.98,-101.3225,0.0,top
U24,74HC4050D,SO16,209.1625,-91.6725,-90.0,top
U25,AP2112K-3.3,SOT-23-5,216.0,-95.0225,0.0,top
U26,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,199.875,-90.4225,0.0,top
U27,MCP2551-I-P,DIP-8_W7.62mm,497.49,-185.31,180.0,top
U28,74LVC1G3157,SC70-6,230.75,-102.5,0.0,top
U29,MCP2551-I-P,DIP-8_W7.62mm,497.5,-168.23,0.0,top
U3,NUCLEO-F303RE,ST_NUCLEO-F303RE,230.33,-164.035,0.0,top
U30,MCP2551-I-P,DIP-8_W7.62mm,512.99,-167.81,90.0,top
U31,MCP2551-I-P,DIP-8_W7.62mm,512.99,-185.51,-90.0,top
U4,YAAJ_BluePill_Part_Like,YAAJ_WeAct_BlackPill_SWD_2,226.87,-64.28,-90.0,top
U5,24LC256-I_SN,SOIC127P600X175-8N,516.6,-154.305,0.0,top
U6,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,381.775,-187.025,0.0,top
U7,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,543.175,-155.805,0.0,top
U8,24LC256-I_SN,SOIC127P600X175-8N,516.6,-146.4,0.0,top
U9,NUCLEO-F446RE,MODULE_NUCLEO-F446RE,523.11,-109.225,0.0,top
