Frequency [MHz],|S0-0| [-],|S1-0| [-],|S2-0| [-],|S3-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Arg(S2-0) [rad],Arg(S3-0) [rad],Delay 0>0 [s],Delay 0>1 [s],Delay 0>2 [s],Delay 0>3 [s],|Z0| [Ohm],Arg(Z0) [rad]
2.588200e+03, 6.226094e-01, 1.462267e-06, 6.083296e-02, 2.879462e-06, -7.002142e-01, -1.503839e+00, -7.322689e-01, -1.251385e+00, 1.831883e-10, 5.606174e-11, 8.279554e-11, 8.436637e-11, 1.159077e+02, -9.189251e-01
2.591100e+03, 6.249775e-01, 1.464041e-06, 6.090985e-02, 2.883729e-06, -7.035522e-01, -1.504861e+00, -7.337776e-01, -1.252922e+00, 1.829076e-10, 5.573350e-11, 8.220823e-11, 8.397394e-11, 1.157348e+02, -9.249822e-01
2.594000e+03, 6.273147e-01, 1.465788e-06, 6.098557e-02, 2.887932e-06, -7.068850e-01, -1.505876e+00, -7.352755e-01, -1.254452e+00, 1.824225e-10, 5.536344e-11, 8.168847e-11, 8.364780e-11, 1.155546e+02, -9.309616e-01
2.596900e+03, 6.296226e-01, 1.467496e-06, 6.106002e-02, 2.892079e-06, -7.102089e-01, -1.506885e+00, -7.367640e-01, -1.255977e+00, 1.819613e-10, 5.501991e-11, 8.118184e-11, 8.329196e-11, 1.153681e+02, -9.368640e-01
2.599800e+03, 6.318998e-01, 1.469186e-06, 6.113334e-02, 2.896173e-06, -7.135245e-01, -1.507887e+00, -7.382432e-01, -1.257494e+00, 1.814766e-10, 5.461114e-11, 8.048877e-11, 8.284844e-11, 1.151752e+02, -9.426869e-01
2.602700e+03, 6.341470e-01, 1.470838e-06, 6.120548e-02, 2.900203e-06, -7.168312e-01, -1.508883e+00, -7.397098e-01, -1.259004e+00, 1.808459e-10, 5.423111e-11, 7.999001e-11, 8.243408e-11, 1.149764e+02, -9.484314e-01
2.605600e+03, 6.363653e-01, 1.472472e-06, 6.127636e-02, 2.904179e-06, -7.201264e-01, -1.509871e+00, -7.411673e-01, -1.260506e+00, 1.803129e-10, 5.379122e-11, 7.931663e-11, 8.200817e-11, 1.147721e+02, -9.540975e-01
2.608500e+03, 6.385551e-01, 1.474068e-06, 6.134618e-02, 2.908103e-06, -7.234120e-01, -1.510851e+00, -7.426126e-01, -1.262000e+00, 1.796833e-10, 5.337482e-11, 7.877083e-11, 8.153164e-11, 1.145626e+02, -9.596872e-01
2.611400e+03, 6.407153e-01, 1.475645e-06, 6.141480e-02, 2.911964e-06, -7.266860e-01, -1.511823e+00, -7.440479e-01, -1.263486e+00, 1.790934e-10, 5.290016e-11, 7.811054e-11, 8.110398e-11, 1.143481e+02, -9.651974e-01
2.614300e+03, 6.428472e-01, 1.477185e-06, 6.148237e-02, 2.915782e-06, -7.299493e-01, -1.512787e+00, -7.454711e-01, -1.264964e+00, 1.782945e-10, 5.245121e-11, 7.745660e-11, 8.058699e-11, 1.141288e+02, -9.706309e-01
2.617200e+03, 6.449510e-01, 1.478706e-06, 6.154888e-02, 2.919539e-06, -7.331981e-01, -1.513743e+00, -7.468825e-01, -1.266432e+00, 1.775856e-10, 5.197373e-11, 7.680425e-11, 8.015346e-11, 1.139055e+02, -9.759860e-01
2.620100e+03, 6.470258e-01, 1.480199e-06, 6.161418e-02, 2.923253e-06, -7.364339e-01, -1.514690e+00, -7.482820e-01, -1.267893e+00, 1.767950e-10, 5.149894e-11, 7.610249e-11, 7.957808e-11, 1.136780e+02, -9.812625e-01
2.623000e+03, 6.490732e-01, 1.481674e-06, 6.167850e-02, 2.926906e-06, -7.396553e-01, -1.515628e+00, -7.496686e-01, -1.269343e+00, 1.760931e-10, 5.097260e-11, 7.546739e-11, 7.912067e-11, 1.134470e+02, -9.864623e-01
2.625900e+03, 6.510925e-01, 1.483111e-06, 6.174175e-02, 2.930518e-06, -7.428640e-01, -1.516557e+00, -7.510438e-01, -1.270784e+00, 1.752511e-10, 5.049610e-11, 7.465209e-11, 7.857774e-11, 1.132122e+02, -9.915851e-01
2.628800e+03, 6.530857e-01, 1.484540e-06, 6.180401e-02, 2.934078e-06, -7.460572e-01, -1.517477e+00, -7.524040e-01, -1.272216e+00, 1.743782e-10, 4.994537e-11, 7.409377e-11, 7.802317e-11, 1.129744e+02, -9.966336e-01
2.631700e+03, 6.550522e-01, 1.485930e-06, 6.186527e-02, 2.937588e-06, -7.492346e-01, -1.518387e+00, -7.537541e-01, -1.273638e+00, 1.735323e-10, 4.942333e-11, 7.329030e-11, 7.745694e-11, 1.127338e+02, -1.001606e+00
2.634600e+03, 6.569905e-01, 1.487303e-06, 6.192553e-02, 2.941047e-06, -7.523966e-01, -1.519288e+00, -7.550895e-01, -1.275049e+00, 1.726678e-10, 4.887857e-11, 7.261801e-11, 7.695093e-11, 1.124903e+02, -1.006502e+00
2.637500e+03, 6.589042e-01, 1.488647e-06, 6.198478e-02, 2.944465e-06, -7.555428e-01, -1.520179e+00, -7.564127e-01, -1.276451e+00, 1.717112e-10, 4.833803e-11, 7.195476e-11, 7.639659e-11, 1.122445e+02, -1.011326e+00
2.640400e+03, 6.607918e-01, 1.489973e-06, 6.204317e-02, 2.947842e-06, -7.586716e-01, -1.521059e+00, -7.577238e-01, -1.277843e+00, 1.708420e-10, 4.779338e-11, 7.116828e-11, 7.581179e-11, 1.119966e+02, -1.016076e+00
2.643300e+03, 6.626526e-01, 1.491280e-06, 6.210056e-02, 2.951169e-06, -7.617846e-01, -1.521930e+00, -7.590206e-01, -1.279225e+00, 1.698904e-10, 4.721962e-11, 7.039070e-11, 7.519739e-11, 1.117464e+02, -1.020751e+00
2.646200e+03, 6.644893e-01, 1.492560e-06, 6.215707e-02, 2.954447e-06, -7.648802e-01, -1.522791e+00, -7.603032e-01, -1.280595e+00, 1.689075e-10, 4.665637e-11, 6.961830e-11, 7.467690e-11, 1.114947e+02, -1.025356e+00
2.649100e+03, 6.663013e-01, 1.493821e-06, 6.221272e-02, 2.957693e-06, -7.679579e-01, -1.523641e+00, -7.615717e-01, -1.281956e+00, 1.679530e-10, 4.608895e-11, 6.897562e-11, 7.405546e-11, 1.112414e+02, -1.029890e+00
2.652000e+03, 6.680884e-01, 1.495063e-06, 6.226749e-02, 2.960890e-06, -7.710182e-01, -1.524481e+00, -7.628286e-01, -1.283305e+00, 1.669106e-10, 4.550067e-11, 6.814957e-11, 7.345665e-11, 1.109867e+02, -1.034353e+00
2.654900e+03, 6.698507e-01, 1.496278e-06, 6.232131e-02, 2.964047e-06, -7.740595e-01, -1.525310e+00, -7.640703e-01, -1.284643e+00, 1.659557e-10, 4.493818e-11, 6.739483e-11, 7.288058e-11, 1.107309e+02, -1.038746e+00
2.657800e+03, 6.715901e-01, 1.497484e-06, 6.237440e-02, 2.967165e-06, -7.770834e-01, -1.526128e+00, -7.652983e-01, -1.285971e+00, 1.649107e-10, 4.433475e-11, 6.670548e-11, 7.225620e-11, 1.104740e+02, -1.043071e+00
2.660700e+03, 6.733053e-01, 1.498661e-06, 6.242667e-02, 2.970242e-06, -7.800883e-01, -1.526936e+00, -7.665138e-01, -1.287288e+00, 1.639506e-10, 4.374738e-11, 6.595738e-11, 7.165449e-11, 1.102164e+02, -1.047328e+00
2.663600e+03, 6.749968e-01, 1.499820e-06, 6.247806e-02, 2.973280e-06, -7.830757e-01, -1.527733e+00, -7.677156e-01, -1.288594e+00, 1.628442e-10, 4.317116e-11, 6.509195e-11, 7.109103e-11, 1.099579e+02, -1.051517e+00
2.666500e+03, 6.766667e-01, 1.500971e-06, 6.252870e-02, 2.976288e-06, -7.860429e-01, -1.528520e+00, -7.689017e-01, -1.289889e+00, 1.618778e-10, 4.256306e-11, 6.441612e-11, 7.042986e-11, 1.096991e+02, -1.055642e+00
2.669400e+03, 6.783135e-01, 1.502093e-06, 6.257852e-02, 2.979246e-06, -7.889925e-01, -1.529296e+00, -7.700754e-01, -1.291172e+00, 1.607647e-10, 4.196270e-11, 6.362236e-11, 6.984003e-11, 1.094398e+02, -1.059702e+00
2.672300e+03, 6.799379e-01, 1.503197e-06, 6.262766e-02, 2.982175e-06, -7.919219e-01, -1.530060e+00, -7.712347e-01, -1.292445e+00, 1.596758e-10, 4.137616e-11, 6.283263e-11, 6.923645e-11, 1.091804e+02, -1.063697e+00
2.675200e+03, 6.815413e-01, 1.504292e-06, 6.267611e-02, 2.985074e-06, -7.948314e-01, -1.530814e+00, -7.723796e-01, -1.293706e+00, 1.586683e-10, 4.077370e-11, 6.210800e-11, 6.862212e-11, 1.089210e+02, -1.067630e+00
2.678100e+03, 6.831227e-01, 1.505369e-06, 6.272381e-02, 2.987933e-06, -7.977225e-01, -1.531557e+00, -7.735113e-01, -1.294957e+00, 1.575709e-10, 4.017041e-11, 6.138736e-11, 6.800917e-11, 1.086615e+02, -1.071500e+00
2.681000e+03, 6.846822e-01, 1.506427e-06, 6.277075e-02, 2.990763e-06, -8.005936e-01, -1.532289e+00, -7.746298e-01, -1.296196e+00, 1.564934e-10, 3.956263e-11, 6.048592e-11, 6.736823e-11, 1.084022e+02, -1.075308e+00
2.683900e+03, 6.862224e-01, 1.507466e-06, 6.281700e-02, 2.993553e-06, -8.034451e-01, -1.533010e+00, -7.757320e-01, -1.297424e+00, 1.554423e-10, 3.895760e-11, 5.983652e-11, 6.676345e-11, 1.081432e+02, -1.079058e+00
