Designator,Mid X,Mid Y,Rotation,Layer
C1,84.5,-60.6,90.0,bottom
C10,95.97,-135.54,180.0,bottom
C11,95.97,-131.06,0.0,bottom
C12,95.933445,-128.303445,180.0,bottom
C13,95.933445,-123.823445,0.0,bottom
C14,104.66,-153.46,0.0,bottom
C15,104.66,-148.0,0.0,bottom
C16,100.05,-117.25,270.0,bottom
C17,122.1,-147.75,90.0,bottom
C2,105.3,-130.25,0.0,bottom
C3,110.1,-132.71,180.0,bottom
C4,105.875,-86.625,180.0,bottom
C5,97.05,-58.515,270.0,bottom
C6,100.875,-94.725,90.0,bottom
C7,97.725,-69.345,270.0,bottom
C8,101.075,-103.975,270.0,bottom
C9,110.925,-63.745,180.0,bottom
D1,87.875,-58.1725,270.0,bottom
D15,124.7475,-53.703745,180.0,bottom
D16,124.7475,-57.375,180.0,bottom
D17,124.7475,-55.561255,180.0,bottom
D18,124.7475,-59.2,180.0,bottom
D19,89.95,-132.0625,90.0,bottom
D5,97.675,-73.095,270.0,bottom
D62,78.5,-65.609489,270.0,bottom
D63,76.0,-65.606193,270.0,bottom
D7,97.45,-62.6275,270.0,bottom
J1,84.925,-73.375,0.0,bottom
J11,93.14,-87.81,180.0,bottom
J12,96.14,-80.77,270.0,bottom
J13,72.61,-140.85,0.0,bottom
J14,82.0,-98.75,270.0,bottom
J15,82.0,-117.47,270.0,bottom
J16,78.3,-55.055,180.0,bottom
J17,92.1,-54.075,270.0,bottom
J18,82.0,-87.535,270.0,bottom
J19,87.96,-147.66,90.0,bottom
J2,72.825,-64.985,180.0,bottom
J20,80.99,-134.13,180.0,bottom
J23,97.85,-150.92,180.0,bottom
J24,97.85,-142.18,180.0,bottom
J30,79.9,-73.4,0.0,bottom
J4,122.1,-139.84,180.0,bottom
J7,99.135,-87.81,0.0,bottom
JP3,110.505,-114.494134,90.0,bottom
JP4,106.861541,-114.494134,90.0,bottom
JP5,103.125018,-114.486426,90.0,bottom
R14,100.95,-98.155,270.0,bottom
R15,97.675,-75.5,270.0,bottom
R16,102.975,-73.8,90.0,bottom
R17,108.661541,-114.189134,90.0,bottom
R18,104.925018,-114.181426,90.0,bottom
R26,102.747076,-53.712903,270.0,bottom
R28,104.14316,-53.712903,270.0,bottom
R3,102.6,-62.565,90.0,bottom
R30,97.45,-65.165,270.0,bottom
R38,128.455,-53.703745,180.0,bottom
R39,128.455,-57.375,180.0,bottom
R4,105.45,-64.77,270.0,bottom
R40,128.455,-55.561255,180.0,bottom
R41,128.455,-59.2,180.0,bottom
R42,88.318295,-131.273893,0.0,bottom
R43,95.085,-133.11,180.0,bottom
R44,95.065,-125.873445,180.0,bottom
R45,96.885,-133.11,180.0,bottom
R46,96.815,-125.873445,180.0,bottom
R47,101.01,-151.265,90.0,bottom
R48,101.01,-142.5,90.0,bottom
R5,87.875,-60.68,270.0,bottom
R53,90.6,-74.682,270.0,bottom
R6,103.075,-90.0425,180.0,bottom
R7,111.275,-58.225,270.0,bottom
R8,112.355,-114.214134,90.0,bottom
R9,114.737857,-75.568,180.0,bottom
R91,78.5,-68.023011,90.0,bottom
R92,76.0,-68.019715,90.0,bottom
TH2,111.105,-55.808151,0.0,bottom
TH4,91.83,-71.277,0.0,bottom
TH5,111.13,-75.568,180.0,bottom
TP1,112.25,-150.45,0.0,bottom
TP2,112.25,-153.3,0.0,bottom
TP3,115.06,-78.375,0.0,bottom
TP5,111.275,-60.675,90.0,bottom
TP7,92.9,-75.027,0.0,bottom
U1_2,96.7,-97.408,0.0,top
U1,127.18,-107.03,0.0,top
U10,66.28,-107.05,0.0,top
U13,102.6,-57.82,270.0,bottom
U2,107.2,-139.18,90.0,bottom
U3,112.375,-68.5,0.0,bottom
U4,107.625,-99.6375,270.0,bottom
U5,107.725,-90.6875,270.0,bottom
U6,107.625,-106.85,270.0,bottom
U7,102.975,-68.6,270.0,bottom
U8,107.24,-119.75,0.0,bottom
U9,84.4625,-65.025,180.0,bottom
